,index,school,early,mid,major
0,0,Yale University,70700,145800,humanities
1,1,Princeton University,74300,141500,humanities
2,2,Colgate University,71500,138000,humanities
3,3,Dartmouth College,71100,132500,humanities
4,4,University of Notre Dame,63700,130900,humanities
5,5,Columbia University in the City of New York,68800,130500,humanities
6,6,Cornell University,70400,128600,humanities
7,7,Boston College,63400,127400,humanities
8,8,Harvard University,71400,127000,humanities
9,9,University of Pennsylvania,69600,126300,humanities
10,10,Brown University,69900,126300,humanities
11,11,Bucknell University,66700,125800,humanities
12,12,Williams College,67000,125800,humanities
13,13,Duke University,67600,125800,humanities
14,14,University of California-Berkeley,64400,125300,humanities
15,15,College of the Holy Cross,61900,123900,humanities
16,16,Santa Clara University,66500,123500,humanities
17,17,United States Air Force Academy,74700,122700,humanities
18,18,United States Naval Academy,78900,121500,humanities
19,19,Georgetown University,67000,121100,humanities
20,20,University of Virginia-Main Campus,60200,120500,humanities
21,21,Wesleyan University,64500,119600,humanities
22,22,Stanford University,71200,119600,humanities
23,23,Brandeis University,61300,118900,humanities
24,24,Middlebury College,62600,118700,humanities
25,0,Kenyon College,56900,118200,humanities
26,1,Haverford College,60500,118200,humanities
27,2,Tufts University,67200,118100,humanities
28,3,Vanderbilt University,66700,117800,humanities
29,4,University of Chicago,57900,117700,humanities
30,5,Northwestern University,63500,117100,humanities
31,6,Citadel Military College of South Carolina,66900,117000,humanities
32,7,University of California-San Diego,58900,116500,humanities
33,8,University of California-Santa Barbara,57200,115900,humanities
34,9,Brigham Young University,56000,115700,humanities
35,10,Trinity College,61800,115500,humanities
36,11,Washington and Lee University,62200,115500,humanities
37,12,Walla Walla University,57800,115400,humanities
38,13,Fordham University,60500,114600,humanities
39,14,Amherst College,63200,114500,humanities
40,15,University of Southern California,59300,114400,humanities
41,16,Barnard College,60400,113700,humanities
42,17,George Washington University,59700,113600,humanities
43,18,Fairfield University,60900,113500,humanities
44,19,Binghamton University,56600,113500,humanities
45,20,Wake Forest University,59900,113300,humanities
46,21,Whitman College,57400,112300,humanities
47,22,Franklin and Marshall College,61600,112200,humanities
48,23,Emory University,60200,112000,humanities
49,24,Wellesley College,62600,112000,humanities
50,0,Washington University in St Louis,61500,112000,humanities
51,1,Carnegie Mellon University,65400,111700,humanities
52,2,Wabash College,60800,111300,humanities
53,3,University of California-Davis,58400,111100,humanities
54,4,Gettysburg College,57100,110700,humanities
55,5,Saint Mary's College of California,60700,110400,humanities
56,6,Oglethorpe University,63200,110200,humanities
57,7,William & Mary,58700,109900,humanities
58,8,University of Rochester,57900,109800,humanities
59,9,Wittenberg University,49300,109800,humanities
60,10,Willamette University,54000,109800,humanities
61,11,University of California-Irvine,56100,109600,humanities
62,12,University of California-Los Angeles,57900,109400,humanities
63,13,Pomona College,58800,109300,humanities
64,14,Loyola Marymount University,58100,109100,humanities
65,15,Bates College,59600,109000,humanities
66,16,Syracuse University,59200,109000,humanities
67,17,William Jewell College,58000,108800,humanities
68,18,Vassar College,57300,108600,humanities
69,19,Occidental College,58800,108500,humanities
70,20,Seattle University,55700,108300,humanities
71,21,New York University,59300,108300,humanities
72,22,Virginia Polytechnic Institute and State University,56600,108100,humanities
73,23,Marist College,56700,107800,humanities
74,24,University of Colorado Boulder,56500,107300,humanities
75,0,Hobart William Smith Colleges,56900,107100,humanities
76,1,University of Michigan-Ann Arbor,57200,107000,humanities
77,2,Southern Methodist University,58800,106400,humanities
78,3,University of San Francisco,59000,106100,humanities
79,4,Clark University,54900,105900,humanities
80,5,James Madison University,54400,105800,humanities
81,6,Texas A & M University-College Station,50300,105700,humanities
82,7,George Mason University,55200,105700,humanities
83,8,Boston University,56000,105600,humanities
84,9,Hofstra University,52100,105600,humanities
85,10,Rutgers University-New Brunswick,56100,105400,humanities
86,11,American University,56400,105400,humanities
87,12,The University of the South,53900,105300,humanities
88,13,St. John's College (Maryland),57500,105300,humanities
89,14,The University of Texas at Austin,55800,105200,humanities
90,15,University of Delaware,55000,105100,humanities
91,16,University of Florida,52800,105000,humanities
92,17,Johns Hopkins University,59200,104900,humanities
93,18,University of Georgia,54300,104800,humanities
94,19,Bowdoin College,57100,104700,humanities
95,20,Virginia Military Institute,58500,104700,humanities
96,21,Villanova University,59200,104600,humanities
97,22,Stonehill College,52300,104400,humanities
98,23,North Central College,53900,104100,humanities
99,24,University of San Diego,53100,104000,humanities
100,0,Cornell College,50400,103900,humanities
101,1,Marquette University,50600,103700,humanities
102,2,SUNY at Albany,53600,103600,humanities
103,3,Sarah Lawrence College,56800,103400,humanities
104,4,Excelsior College,53000,103100,humanities
105,5,St Olaf College,53200,103000,humanities
106,6,Carleton College,56600,102900,humanities
107,7,University of Denver,53100,102900,humanities
108,8,Ithaca College,53000,102400,humanities
109,9,Sacred Heart University,59100,102200,humanities
110,10,Reed College,56100,102100,humanities
111,11,University of Washington-Seattle Campus,58500,102000,humanities
112,12,Franklin Pierce University,63200,102000,humanities
113,13,Colby College,65900,101900,humanities
114,14,Connecticut College,57500,101900,humanities
115,15,Providence College,56800,101800,humanities
116,16,University of Oregon,52400,101800,humanities
117,17,Dickinson College,58100,101600,humanities
118,18,Rollins College,52300,101600,humanities
119,19,Denison University,53400,101400,humanities
120,20,Furman University,55600,101300,humanities
121,21,Birmingham-Southern College,58900,101100,humanities
122,22,Hamilton College,64200,101100,humanities
123,23,Miami University-Oxford,53500,101000,humanities
124,24,University of Maryland-College Park,58600,100900,humanities
125,0,University of Illinois Urbana-Champaign,54500,100800,humanities
126,1,Assumption University,53100,100800,humanities
127,2,Gordon College,50100,100700,humanities
128,3,Gustavus Adolphus College,54600,100700,humanities
129,4,University of Connecticut,54500,100600,humanities
130,5,St. John's University-New York,54500,100600,humanities
131,6,University of Puget Sound,53600,100500,humanities
132,7,Lewis & Clark College,51100,100500,humanities
133,8,Emerson College,52400,100400,humanities
134,9,Gonzaga University,55600,100400,humanities
135,10,Mills College,53400,100300,humanities
136,11,University of St Thomas (Minnesota),57100,100300,humanities
137,12,Hartwick College,51500,100200,humanities
138,13,Scripps College,54500,100200,humanities
139,14,University of Wisconsin-Madison,54300,100100,humanities
140,15,California Polytechnic State University-San Luis Obispo,57000,100100,humanities
141,16,Lawrence University,50100,99700,humanities
142,17,Illinois State University,49100,99500,humanities
143,18,CUNY Queens College,48100,99300,humanities
144,19,Regis University,53000,99200,humanities
145,20,Suffolk University,53000,99200,humanities
146,21,University of the Pacific,53800,99100,humanities
147,22,SUNY College at Geneseo,53600,99100,humanities
148,23,Towson University,49200,99000,humanities
149,24,The College of New Jersey,53400,99000,humanities
150,0,Pace University,56900,98700,humanities
151,1,Lake Forest College,54700,98600,humanities
152,2,DePaul University,51600,98500,humanities
153,3,Rutgers University-Newark,51800,98200,humanities
154,4,Stony Brook University,54200,98200,humanities
155,5,University of Houston,52800,98200,humanities
156,6,University of Utah,49800,98100,humanities
157,7,Northeastern University,57200,98000,humanities
158,8,Whittier College,51900,97800,humanities
159,9,University of California-Santa Cruz,55800,97700,humanities
160,10,Thomas Aquinas College,53300,97700,humanities
161,11,DePauw University,57000,97700,humanities
162,12,San Jose State University,61200,97600,humanities
163,13,University of Vermont,51900,97600,humanities
164,14,Wofford College,52000,97500,humanities
165,15,Mount Holyoke College,54100,97400,humanities
166,16,Bard College,53800,97400,humanities
167,17,Austin College,53100,97400,humanities
168,18,California State University-Chico,51300,97300,humanities
169,19,Bethel University (Minnesota),48900,97300,humanities
170,20,University of South Dakota,49600,97300,humanities
171,21,Smith College,51500,97100,humanities
172,22,University of Rhode Island,55200,97100,humanities
173,23,West Virginia University,51000,97000,humanities
174,24,San Diego State University,50900,96900,humanities
175,0,University of Pittsburgh-Pittsburgh Campus,54000,96900,humanities
176,1,St Lawrence University,53700,96800,humanities
177,2,San Francisco State University,54800,96800,humanities
178,3,University of Hartford,49700,96700,humanities
179,4,Mount Saint Mary's University,51700,96600,humanities
180,5,Central Connecticut State University,49800,96500,humanities
181,6,Kalamazoo College,54500,96500,humanities
182,7,Saint Joseph's University,52000,96500,humanities
183,8,Westmont College,51500,96400,humanities
184,9,Howard University,58000,96400,humanities
185,10,Skidmore College,57000,96400,humanities
186,11,University of Mary Washington,53400,96400,humanities
187,12,University of New Hampshire-Main Campus,50800,96400,humanities
188,13,University of Maryland-Baltimore County,52400,96200,humanities
189,14,Auburn University,51300,96000,humanities
190,15,Wheaton College (Massachusetts),50900,96000,humanities
191,16,Tulane University of Louisiana,54300,95900,humanities
192,17,Muhlenberg College,53600,95800,humanities
193,18,Loyola University Chicago,50000,95600,humanities
194,19,University of Iowa,51700,95400,humanities
195,20,University of California-Riverside,49600,95400,humanities
196,21,SUNY at Purchase College,50900,95400,humanities
197,22,University of Scranton,50700,95300,humanities
198,23,Pacific Lutheran University,51500,95300,humanities
199,24,California State University-Fullerton,49800,95100,humanities
200,0,Baylor University,51800,95000,humanities
201,1,Seton Hall University,50900,94900,humanities
202,2,University of Kentucky,50900,94800,humanities
203,3,Simmons University,50900,94800,humanities
204,4,The University of Alabama,48900,94700,humanities
205,5,Ursinus College,52200,94700,humanities
206,6,Canisius College,49000,94600,humanities
207,7,Rockhurst University,52300,94500,humanities
208,8,Texas Christian University,51900,94500,humanities
209,9,Whitworth University,50200,94500,humanities
210,10,Oberlin College,51700,94400,humanities
211,11,University of Idaho,52200,94400,humanities
212,12,University of North Carolina at Chapel Hill,53400,94400,humanities
213,13,John Carroll University,54100,94300,humanities
214,14,University of Richmond,54000,94200,humanities
215,15,Loyola University New Orleans,47000,94000,humanities
216,16,Oregon State University,48100,94000,humanities
217,17,University of Illinois Chicago,50300,93900,humanities
218,18,Illinois Wesleyan University,52900,93800,humanities
219,19,University of Mississippi,46700,93800,humanities
220,20,Xavier University,50400,93700,humanities
221,21,Virginia Commonwealth University,46700,93700,humanities
222,22,University of Redlands,53600,93600,humanities
223,23,CUNY Hunter College,51000,93600,humanities
224,24,University of Northern Colorado,48600,93500,humanities
225,0,California Lutheran University,50700,93400,humanities
226,1,Emmanuel College,52900,93400,humanities
227,2,Cabrini University,51400,93400,humanities
228,3,CUNY Brooklyn College,50900,93300,humanities
229,4,Seattle Pacific University,51600,93200,humanities
230,5,The College of Wooster,49700,93200,humanities
231,6,Northwest Nazarene University,49600,93200,humanities
232,7,Florida State University,47700,93200,humanities
233,8,California State University-Long Beach,48900,93100,humanities
234,9,North Park University,45500,93100,humanities
235,10,McDaniel College,52100,93100,humanities
236,11,Siena College,52000,93100,humanities
237,12,Hampshire College,45000,93000,humanities
238,13,Utah State University,49500,93000,humanities
239,14,University of Massachusetts-Amherst,54000,92900,humanities
240,15,Montclair State University,50800,92900,humanities
241,16,Grinnell College,52300,92900,humanities
242,17,University of Arizona,50300,92800,humanities
243,18,Bob Jones University,50300,92800,humanities
244,19,Texas Tech University,48400,92800,humanities
245,20,University of Miami,54900,92600,humanities
246,21,Elon University,49600,92500,humanities
247,22,Colorado College,50100,92500,humanities
248,23,Pepperdine University,53600,92400,humanities
249,24,California State University-Northridge,47900,92400,humanities
250,0,Western Washington University,54200,92200,humanities
251,1,Michigan State University,50500,92200,humanities
252,2,Washington State University,52000,92100,humanities
253,3,Ohio University-Main Campus,49100,92100,humanities
254,4,University of Minnesota-Twin Cities,51500,92100,humanities
255,5,West Texas A & M University,50700,92000,humanities
256,6,University of Cincinnati-Main Campus,49200,92000,humanities
257,7,Hamline University,50900,92000,humanities
258,8,University of Wisconsin-Whitewater,49200,91900,humanities
259,9,Northern Illinois University,46500,91800,humanities
260,10,SUNY College at Oswego,48500,91700,humanities
261,11,Salisbury University,47100,91700,humanities
262,12,Wheaton College (Illinois),51500,91600,humanities
263,13,University of Kansas,48300,91600,humanities
264,14,Georgia State University,49700,91400,humanities
265,15,Slippery Rock University of Pennsylvania,44900,91400,humanities
266,16,Indiana University-Bloomington,49500,91200,humanities
267,17,University of Massachusetts-Boston,51100,91200,humanities
268,18,Macalester College,53800,91200,humanities
269,19,Thomas Edison State University,47500,91200,humanities
270,20,California State University-Dominguez Hills,48800,91100,humanities
271,21,Case Western Reserve University,52000,91100,humanities
272,22,Virginia Wesleyan University,50300,91100,humanities
273,23,University of Wisconsin-River Falls,50100,91100,humanities
274,24,Colorado State University-Fort Collins,50500,90900,humanities
275,0,Saint Mary's College,46700,90900,humanities
276,1,University of Nevada-Las Vegas,47200,90900,humanities
277,2,Saint Michael's College,48400,90900,humanities
278,3,California State University-Bakersfield,47000,90900,humanities
279,4,University of Dayton,49700,90800,humanities
280,5,University of Hawaii at Manoa,50000,90800,humanities
281,6,State University of New York at New Paltz,49000,90800,humanities
282,7,SUNY at Fredonia,44400,90700,humanities
283,8,Howard Payne University,47400,90500,humanities
284,9,Beloit College,46900,90500,humanities
285,10,Sonoma State University,50300,90500,humanities
286,11,Dominican University of California,51400,90500,humanities
287,12,University of Minnesota-Duluth,49200,90400,humanities
288,13,Central Washington University,54600,90400,humanities
289,14,Neumann University,46400,90200,humanities
290,15,Iowa State University,50300,89900,humanities
291,16,Mount St. Mary's University,46300,89800,humanities
292,17,Saint Cloud State University,46400,89800,humanities
293,18,California State University-San Bernardino,48100,89700,humanities
294,19,New Jersey City University,49300,89700,humanities
295,20,Houghton College,44200,89700,humanities
296,21,La Salle University,49400,89700,humanities
297,22,Arizona State University Campus Immersion,51600,89600,humanities
298,23,Rider University,48000,89600,humanities
299,24,Roosevelt University,49900,89400,humanities
300,0,Christopher Newport University,50100,89400,humanities
301,1,Westfield State University,48600,89100,humanities
302,2,Vanguard University of Southern California,50700,89100,humanities
303,3,University of North Texas,48400,89100,humanities
304,4,The Catholic University of America,49000,89000,humanities
305,5,Drake University,50500,89000,humanities
306,6,Missouri State University-Springfield,43500,89000,humanities
307,7,University of Massachusetts-Dartmouth,45300,88900,humanities
308,8,Northwest University,52200,88800,humanities
309,9,University of Massachusetts-Lowell,47200,88700,humanities
310,10,Framingham State University,49500,88600,humanities
311,11,SUNY Oneonta,47200,88600,humanities
312,12,Shippensburg University of Pennsylvania,46200,88600,humanities
313,13,Texas State University,47500,88600,humanities
314,14,Western Illinois University,44700,88600,humanities
315,15,University of North Carolina at Charlotte,46800,88500,humanities
316,16,The Evergreen State College,49400,88500,humanities
317,17,University of Alabama at Birmingham,46300,88400,humanities
318,18,SUNY Cortland,47800,88400,humanities
319,19,Hiram College,45300,88300,humanities
320,20,North Carolina State University at Raleigh,49800,88200,humanities
321,21,Charter Oak State College,47400,88000,humanities
322,22,California State University-East Bay,55100,87900,humanities
323,23,University of Missouri-Columbia,48500,87900,humanities
324,24,Trinity University,49500,87900,humanities
325,0,Ball State University,45200,87800,humanities
326,1,Hood College,45700,87800,humanities
327,2,University of Nebraska-Lincoln,48700,87800,humanities
328,3,Dallas Baptist University,47000,87800,humanities
329,4,University of South Carolina-Columbia,47900,87800,humanities
330,5,University of Maryland Global Campus,49900,87700,humanities
331,6,University of Central Florida,46600,87600,humanities
332,7,Florida Atlantic University,43800,87600,humanities
333,8,College of Charleston,49400,87600,humanities
334,9,Stetson University,45900,87500,humanities
335,10,West Chester University of Pennsylvania,44900,87400,humanities
336,11,University of Wyoming,47700,87400,humanities
337,12,University of Houston-Downtown,47300,87300,humanities
338,13,California State University-Stanislaus,46300,87100,humanities
339,14,Luther College,48200,87100,humanities
340,15,University of Baltimore,48400,87100,humanities
341,16,Drew University,50500,87100,humanities
342,17,SUNY College at Potsdam,45500,87100,humanities
343,18,Lycoming College,45200,87100,humanities
344,19,Weber State University,49900,87100,humanities
345,20,California State University-Sacramento,49000,86900,humanities
346,21,High Point University,47800,86900,humanities
347,22,Centre College,49000,86800,humanities
348,23,Ramapo College of New Jersey,44600,86800,humanities
349,24,York College of Pennsylvania,47100,86600,humanities
350,0,Augustana College,46300,86600,humanities
351,1,Oakland University,44400,86600,humanities
352,2,Augsburg University,46400,86600,humanities
353,3,Concordia College at Moorhead,45800,86600,humanities
354,4,CUNY Lehman College,48100,86500,humanities
355,5,University of New Mexico-Main Campus,44800,86500,humanities
356,6,Carroll University,44500,86400,humanities
357,7,Youngstown State University,43500,86400,humanities
358,8,California State Polytechnic University-Pomona,46500,86300,humanities
359,9,Cleveland State University,42800,86300,humanities
360,10,Western Kentucky University,44500,86200,humanities
361,11,Bridgewater State University,50600,86200,humanities
362,12,Minnesota State University-Mankato,48600,86200,humanities
363,13,Creighton University,48800,86100,humanities
364,14,Bloomsburg University of Pennsylvania,46300,86100,humanities
365,15,Barry University,46400,86000,humanities
366,16,Salem State University,46600,86000,humanities
367,17,Rowan University,46400,86000,humanities
368,18,University at Buffalo,46900,86000,humanities
369,19,East Carolina University,46700,86000,humanities
370,20,Temple University,49400,85900,humanities
371,21,Linfield University-McMinnville Campus,45500,85900,humanities
372,22,University of Oklahoma-Norman Campus,47100,85700,humanities
373,23,Western Michigan University,47800,85700,humanities
374,24,Humboldt State University,47100,85700,humanities
375,0,Frostburg State University,48000,85500,humanities
376,1,Clemson University,49700,85500,humanities
377,2,University of Nevada-Reno,48600,85400,humanities
378,3,California State University-Los Angeles,46600,85300,humanities
379,4,University of Nebraska at Omaha,44100,85300,humanities
380,5,Indiana University of Pennsylvania-Main Campus,46300,85300,humanities
381,6,Boise State University,45300,85100,humanities
382,7,Guilford College,43200,85100,humanities
383,8,Governors State University,46500,85100,humanities
384,9,Sam Houston State University,48300,85000,humanities
385,10,Louisiana State University and Agricultural & Mechanical College,49900,84900,humanities
386,11,Ohio State University-Main Campus,50800,84900,humanities
387,12,Belmont University,45800,84900,humanities
388,13,St Catherine University,45900,84800,humanities
389,14,Purdue University-Main Campus,49600,84600,humanities
390,15,The University of Texas at Dallas,45200,84600,humanities
391,16,Kutztown University of Pennsylvania,44800,84600,humanities
392,17,Mercer University,43300,84600,humanities
393,18,University of South Florida,44100,84600,humanities
394,19,Mississippi State University,42600,84500,humanities
395,20,Ripon College,42000,84400,humanities
396,21,Northern Kentucky University,47200,84400,humanities
397,22,Georgia Southern University,44300,84400,humanities
398,23,Kennesaw State University,48200,84200,humanities
399,24,University of Wisconsin-Oshkosh,47600,84200,humanities
400,0,Portland State University,48100,84200,humanities
401,1,Southern Illinois University-Carbondale,46000,84200,humanities
402,2,Eastern Michigan University,47000,84000,humanities
403,3,Northern Arizona University,47000,84000,humanities
404,4,Salem College,39000,83900,humanities
405,5,Kansas State University,46700,83800,humanities
406,6,Oklahoma Christian University,44400,83800,humanities
407,7,The University of Tennessee-Knoxville,45300,83800,humanities
408,8,Eastern Connecticut State University,43400,83700,humanities
409,9,Southern Connecticut State University,47500,83700,humanities
410,10,Indiana Wesleyan University-Marion,45200,83600,humanities
411,11,Longwood University,41600,83600,humanities
412,12,Eastern Washington University,44100,83600,humanities
413,13,University of Wisconsin-Eau Claire,47500,83600,humanities
414,14,University of Wisconsin-La Crosse,46700,83600,humanities
415,15,Oklahoma Baptist University,44500,83500,humanities
416,16,Stephen F Austin State University,46500,83400,humanities
417,17,The University of Texas at Arlington,46500,83400,humanities
418,18,Valparaiso University,47700,83300,humanities
419,19,Southeast Missouri State University,43800,83300,humanities
420,20,University of Missouri-Kansas City,46500,83200,humanities
421,21,Kean University,46300,83200,humanities
422,22,Appalachian State University,48800,83200,humanities
423,23,University of Michigan-Dearborn,47400,83100,humanities
424,24,University of Southern Maine,44800,83000,humanities
425,0,Duquesne University,45400,83000,humanities
426,1,Hollins University,42800,82900,humanities
427,2,Charleston Southern University,42000,82800,humanities
428,3,The University of Texas at San Antonio,48300,82700,humanities
429,4,University of Wisconsin-Milwaukee,48000,82600,humanities
430,5,California State University-Fresno,47700,82500,humanities
431,6,Indiana University-Purdue University-Indianapolis,45500,82500,humanities
432,7,Calvin University,45000,82500,humanities
433,8,Warren Wilson College,43000,82400,humanities
434,9,Western Oregon University,45900,82300,humanities
435,10,Stockton University,44500,82200,humanities
436,11,Eastern University,44800,82200,humanities
437,12,Colorado Christian University,43700,82200,humanities
438,13,University of Lynchburg,41800,82100,humanities
439,14,Southeastern Louisiana University,39600,82000,humanities
440,15,Saginaw Valley State University,41800,82000,humanities
441,16,Lamar University,43900,82000,humanities
442,17,Adelphi University,42600,81900,humanities
443,18,Abilene Christian University,42000,81900,humanities
444,19,Metropolitan State University of Denver,46700,81800,humanities
445,20,Lincoln Christian University,41300,81700,humanities
446,21,National University,46100,81600,humanities
447,22,Florida International University,43500,81600,humanities
448,23,Columbia College Chicago,45000,81600,humanities
449,24,The University of Tennessee-Chattanooga,43200,81500,humanities
450,0,Bowling Green State University-Main Campus,43700,81400,humanities
451,1,Clarion University of Pennsylvania,38900,81400,humanities
452,2,University of Maine,43100,81300,humanities
453,3,Metropolitan State University,45500,81300,humanities
454,4,Montana State University,44400,81300,humanities
455,5,University of Central Oklahoma,42700,81300,humanities
456,6,Bay Path University,46900,81300,humanities
457,7,The University of Montana,41700,81200,humanities
458,8,Converse College,40700,81200,humanities
459,9,Rutgers University-Camden,49100,81000,humanities
460,10,Louisiana Tech University,40500,81000,humanities
461,11,Moody Bible Institute,45900,81000,humanities
462,12,University of Evansville,44000,81000,humanities
463,13,University of Colorado Denver/Anschutz Medical Campus,47700,81000,humanities
464,14,Wells College,44100,80900,humanities
465,15,Columbia College (Missouri),43200,80500,humanities
466,16,Wayne State University,49200,80400,humanities
467,17,University of North Carolina Wilmington,46600,80400,humanities
468,18,Northeastern Illinois University,43700,80300,humanities
469,19,Eastern Illinois University,44600,80100,humanities
470,20,Radford University,46000,80000,humanities
471,21,Millersville University of Pennsylvania,43500,79900,humanities
472,22,University of New Orleans,41100,79900,humanities
473,23,Texas Woman's University,43800,79700,humanities
474,24,Eckerd College,45200,79600,humanities
475,0,Wright State University-Main Campus,43000,79600,humanities
476,1,Marshall University,43700,79600,humanities
477,2,University of Wisconsin-Green Bay,43400,79600,humanities
478,3,University of Toledo,41600,79500,humanities
479,4,University of Akron Main Campus,44600,79000,humanities
480,5,Mid-America Christian University,40500,79000,humanities
481,6,Southeastern University,42700,78900,humanities
482,7,SUNY College at Plattsburgh,40500,78900,humanities
483,8,University of Missouri-St Louis,45600,78800,humanities
484,9,University of Memphis,44600,78800,humanities
485,10,SUNY Brockport,43600,78600,humanities
486,11,Trinity International University-Illinois,39600,78300,humanities
487,12,University of Louisville,44800,78300,humanities
488,13,University of Wisconsin-Stevens Point,44900,78200,humanities
489,14,University of North Carolina at Greensboro,43600,78100,humanities
490,15,The Master's University and Seminary,40600,78000,humanities
491,16,Southern New Hampshire University,46300,78000,humanities
492,17,Geneva College,38200,77900,humanities
493,18,Middle Tennessee State University,42900,77900,humanities
494,19,Northern Michigan University,40300,77800,humanities
495,20,University of Arkansas at Little Rock,41000,77700,humanities
496,21,Old Dominion University,46400,77600,humanities
497,22,University of Northern Iowa,45800,77600,humanities
498,23,University of Louisiana at Lafayette,39900,77600,humanities
499,24,CUNY City College,46500,77400,humanities
500,0,Taylor University,41500,77300,humanities
501,1,Austin Peay State University,39400,77100,humanities
502,2,University of Michigan-Flint,44800,77000,humanities
503,3,Kent State University at Kent,43200,77000,humanities
504,4,Lancaster Bible College,45000,76800,humanities
505,5,Oklahoma State University-Main Campus,41800,76600,humanities
506,6,Berry College,41600,76500,humanities
507,7,North Central University,40900,76500,humanities
508,8,Central Michigan University,43300,76400,humanities
509,9,Eastern Oregon University,43400,76200,humanities
510,10,University of North Florida,42300,76000,humanities
511,11,University of Valley Forge,40100,75900,humanities
512,12,Life Pacific University,40700,75800,humanities
513,13,Lee University,41500,75800,humanities
514,14,College of Staten Island CUNY,39600,75700,humanities
515,15,Wichita State University,42500,75600,humanities
516,16,University of Southern Indiana,39100,75400,humanities
517,17,Cedarville University,41100,75300,humanities
518,18,University of Maine at Farmington,44300,75200,humanities
519,19,Saint Leo University,40300,75100,humanities
520,20,Evangel University,39200,75100,humanities
521,21,University of South Alabama,39800,75000,humanities
522,22,Louisiana State University-Shreveport,39400,74900,humanities
523,23,Clarks Summit University,44000,74900,humanities
524,24,The University of Texas at El Paso,40800,74500,humanities
525,0,Harvey Mudd College,117700,189200,computer-science
526,1,Stanford University,119600,183100,computer-science
527,2,University of California-Berkeley,115700,181100,computer-science
528,3,Harvard University,103900,179400,computer-science
529,4,Carnegie Mellon University,109200,178300,computer-science
530,5,Massachusetts Institute of Technology,109300,177200,computer-science
531,6,Princeton University,115100,177100,computer-science
532,7,Columbia University in the City of New York,104300,175400,computer-science
533,8,Dartmouth College,113300,174900,computer-science
534,9,Yale University,115400,174300,computer-science
535,10,Duke University,97100,173400,computer-science
536,11,Brown University,111400,170400,computer-science
537,12,University of Pennsylvania,106700,170000,computer-science
538,13,University of Washington-Seattle Campus,91500,168400,computer-science
539,14,Rice University,104700,166500,computer-science
540,15,University of California-Santa Barbara,93800,165500,computer-science
541,16,CUNY Hunter College,85300,162300,computer-science
542,17,University of California-Santa Cruz,92200,161300,computer-science
543,18,Brandeis University,86000,160600,computer-science
544,19,Cornell University,99400,160400,computer-science
545,20,University of Virginia-Main Campus,93600,160400,computer-science
546,21,Lehigh University,95000,160100,computer-science
547,22,Worcester Polytechnic Institute,94300,159800,computer-science
548,23,California Polytechnic State University-San Luis Obispo,92400,159700,computer-science
549,24,University of California-Irvine,85800,158300,computer-science
550,0,Santa Clara University,97300,157900,computer-science
551,1,Case Western Reserve University,81500,157700,computer-science
552,2,Tufts University,99900,157700,computer-science
553,3,University of California-San Diego,95800,157600,computer-science
554,4,United States Naval Academy,81600,157400,computer-science
555,5,Fordham University,78800,156500,computer-science
556,6,University of California-Los Angeles,99800,156500,computer-science
557,7,Stony Brook University,83000,156300,computer-science
558,8,Johns Hopkins University,97600,155000,computer-science
559,9,Boston University,91600,154800,computer-science
560,10,University of Massachusetts-Amherst,88100,154600,computer-science
561,11,Boston College,86900,153800,computer-science
562,12,Northwestern University,89800,153700,computer-science
563,13,University of Illinois Urbana-Champaign,91800,153400,computer-science
564,14,United States Military Academy,84300,153300,computer-science
565,15,Rensselaer Polytechnic Institute,94200,153300,computer-science
566,16,Wake Forest University,84200,152900,computer-science
567,17,University of Notre Dame,89800,152500,computer-science
568,18,San Jose State University,93900,152500,computer-science
569,19,New York University,89400,152200,computer-science
570,20,University of Southern California,99100,152200,computer-science
571,21,Virginia Polytechnic Institute and State University,89800,150800,computer-science
572,22,University of Michigan-Ann Arbor,92300,150800,computer-science
573,23,Georgia Institute of Technology-Main Campus,92200,150300,computer-science
574,24,University of California-Davis,98300,150000,computer-science
575,0,Trinity College,89800,150000,computer-science
576,1,LeTourneau University,78100,149800,computer-science
577,2,Stevens Institute of Technology,91500,149200,computer-science
578,3,CUNY Brooklyn College,75300,148800,computer-science
579,4,George Mason University,77800,148500,computer-science
580,5,Emory University,85300,148500,computer-science
581,6,George Washington University,84500,148500,computer-science
582,7,Washington University in St Louis,93200,148400,computer-science
583,8,University of Maryland-College Park,88700,148200,computer-science
584,9,University of Delaware,79900,148200,computer-science
585,10,Pepperdine University,90800,148000,computer-science
586,11,Merrimack College,81500,147800,computer-science
587,12,University of North Carolina at Chapel Hill,85300,147300,computer-science
588,13,William & Mary,88300,146700,computer-science
589,14,The University of Texas at Austin,89900,146000,computer-science
590,15,Seattle University,97400,146000,computer-science
591,16,Sacred Heart University,71500,145600,computer-science
592,17,James Madison University,82400,145500,computer-science
593,18,Brigham Young University,82100,145100,computer-science
594,19,University of Rhode Island,79600,145100,computer-science
595,20,Bucknell University,86700,145100,computer-science
596,21,University of St Thomas (Minnesota),76700,145100,computer-science
597,22,Vanderbilt University,86300,144800,computer-science
598,23,University of Minnesota-Twin Cities,82400,144800,computer-science
599,24,Worcester State University,71600,144800,computer-science
600,0,Colorado School of Mines,84200,144400,computer-science
601,1,Rutgers University-New Brunswick,80600,144200,computer-science
602,2,Bowdoin College,86300,144000,computer-science
603,3,Oregon State University,82600,143700,computer-science
